The Hunger Games (The Hunger Games #1), 4.34, 5090364
Harry Potter and the Order of the Phoenix (Harry Potter #5), 4.47, 1882275
To Kill a Mockingbird, 4.26, 3414191
Pride and Prejudice, 4.25, 2252175
Twilight (Twilight #1), 3.57, 4007805
The Book Thief, 4.36, 1333764
The Chronicles of Narnia (Chronicles of Narnia #1-7), 4.24, 409852
Animal Farm, 3.88, 2045823
Gone with the Wind, 4.28, 915648
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings, 4.59, 95952
The Fault in Our Stars, 4.26, 2580479
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1), 4.20, 1032217
The Giving Tree, 4.37, 729833
Wuthering Heights, 3.83, 1027130
The Da Vinci Code (Robert Langdon #2), 3.79, 1583159
Memoirs of a Geisha, 4.08, 1443625
Alice's Adventures in Wonderland & Through the Looking-Glass, 4.06, 382952
Les Misérables, 4.14, 568931
The Picture of Dorian Gray, 4.06, 698630
Divergent (Divergent #1), 4.23, 2288942
Romeo and Juliet, 3.74, 1708509
Jane Eyre, 4.10, 1300700
Lord of the Flies, 3.65, 1714574
The Alchemist, 3.82, 1465141
Crime and Punishment, 4.19, 458996
Ender's Game (Ender's Saga #1), 4.30, 894851
City of Bones (The Mortal Instruments #1), 4.12, 1277050
The Perks of Being a Wallflower, 4.21, 978617
The Time Traveler's Wife, 3.95, 1333631
The Help, 4.45, 1645906
Charlotte's Web, 4.15, 1123208
Anne of Green Gables (Anne of Green Gables #1), 4.23, 548072
The Great Gatsby, 3.89, 2868442
Of Mice and Men, 3.84, 1554995
Dracula, 3.98, 715234
Brave New World, 3.97, 1108471
One Hundred Years of Solitude, 4.04, 588489
The Princess Bride, 4.25, 663238
The Secret Garden, 4.12, 709543
The Little Prince, 4.29, 895724
A Thousand Splendid Suns, 4.34, 888891
A Wrinkle in Time (A Wrinkle in Time Quintet #1), 4.04, 673423
The Catcher in the Rye, 3.79, 2175625
The Adventures of Huckleberry Finn, 3.80, 1021129
The Lovely Bones, 3.78, 1690874
Fahrenheit 451, 3.97, 1208303
Where the Wild Things Are, 4.22, 654514
Green Eggs and Ham, 4.29, 471433
A Game of Thrones (A Song of Ice and Fire #1), 4.45, 1496602
The Lightning Thief (Percy Jackson and the Olympians #1), 4.23, 1466345
Life of Pi, 3.88, 1089966
A Tale of Two Cities, 3.82, 690446
Water for Elephants, 4.07, 1127669
The Odyssey, 3.73, 724897
The Outsiders, 4.06, 698327
Lolita, 3.88, 527945
Slaughterhouse-Five, 4.06, 912848
Harry Potter and the Sorcerer's Stone (Harry Potter #1), 4.45, 5004451
Catch-22 (Catch-22 #1), 3.98, 596433
Frankenstein, 3.76, 908036
Dune (Dune Chronicles #1), 4.20, 539846
The Pillars of the Earth (Kingsbridge #1), 4.29, 509459
The Kite Runner, 4.26, 1925165
The Stand, 4.34, 484472
Watership Down (Watership Down #1), 4.06, 314461
The Giver (The Giver #1), 4.12, 1364285
The Adventures of Sherlock Holmes, 4.30, 189902
My Sister's Keeper, 4.06, 903248
The Handmaid's Tale, 4.07, 746320
One Flew Over the Cuckoo's Nest, 4.19, 523538
The Bell Jar, 3.98, 450952
Outlander (Outlander #1), 4.21, 601216
Anna Karenina, 4.02, 486660
Rebecca, 4.21, 338258
A Tree Grows in Brooklyn, 4.24, 314175
The Girl with the Dragon Tattoo (Millennium #1), 4.11, 1993471
The Color Purple, 4.17, 407140
Angela's Ashes (Frank McCourt #1), 4.08, 430804
Matilda, 4.29, 471281
The Road, 3.95, 568513
Little Women (Little Women #1), 4.04, 1338922
The Fellowship of the Ring (The Lord of the Rings #1), 4.34, 1886107
A Clockwork Orange, 3.98, 466585
The Brothers Karamazov, 4.31, 182411
Vampire Academy (Vampire Academy #1), 4.14, 462763
The Poisonwood Bible, 4.03, 570390
Siddhartha, 3.99, 431850
Atlas Shrugged, 3.68, 302730
Don Quixote, 3.86, 162683
Fahrenheit 451, 3.97, 1208303
The Golden Compass (His Dark Materials #1), 3.94, 1020799
The Notebook (The Notebook #1), 4.07, 1090706
The Old Man and the Sea, 3.73, 596052
Great Expectations, 3.75, 519966
A Prayer for Owen Meany, 4.22, 250170
The Complete Stories and Poems, 4.37, 162275
Moby-Dick or The Whale, 3.47, 405864
Winnie-the-Pooh (Winnie-the-Pooh #1), 4.34, 218940
Harry Potter and the Deathly Hallows (Harry Potter #7), 4.62, 1898479
Interview with the Vampire (The Vampire Chronicles #1), 3.98, 402204
The Red Tent, 4.16, 454234
The Secret Life of Bees, 4.02, 952985
1984, 4.14, 2140082
Clockwork Angel (The Infernal Devices #1), 4.33, 530373
Middlesex, 3.98, 515731
Great Expectations, 3.75, 519966
The Adventures of Tom Sawyer, 3.90, 606937
Harry Potter and the Prisoner of Azkaban (Harry Potter #3), 4.53, 2028089
On the Road, 3.64, 283402
The Stranger, 3.96, 500517
The Master and Margarita, 4.32, 164119
Charlie and the Chocolate Factory (Charlie Bucket #1), 4.11, 506991
And Then There Were None, 4.23, 486088
Eragon (The Inheritance Cycle #1), 3.86, 1155834
The Shining, 4.18, 848634
The Very Hungry Caterpillar, 4.29, 314076
Tuesdays with Morrie, 4.07, 601494
Flowers for Algernon, 4.07, 347791
The Unbearable Lightness of Being, 4.08, 255444
The Shadow of the Wind (The Cemetery of Forgotten Books  #1), 4.25, 328712
The Curious Incident of the Dog in the Night-Time, 3.85, 931358
Looking for Alaska, 4.08, 858109
The Metamorphosis, 3.79, 432096
The Scarlet Letter, 3.37, 568736
The Name of the Rose, 4.11, 231160
The Name of the Wind (The Kingkiller Chronicle #1), 4.55, 472965
